,Team,Wins,Losses,Win %,Points Per Game,Opp. Points Per Game,Season Year
40,Detroit Pistons,32,50,0.39,95.6,97.3,2000-2001
41,Cleveland Cavaliers,30,52,0.366,92.2,96.5,2000-2001
42,Atlanta Hawks,25,57,0.305,91.0,96.2,2000-2001
43,Chicago Bulls,15,67,0.183,87.6,96.7,2000-2001
44,San Antonio Spurs,58,24,0.707,96.2,88.4,2000-2001
45,Utah Jazz,53,29,0.646,97.1,92.4,2000-2001
46,Dallas Mavericks,53,29,0.646,100.5,96.2,2000-2001
47,Minnesota Timberwolves,47,35,0.573,97.3,96.0,2000-2001
48,Houston Rockets,45,37,0.549,97.2,94.9,2000-2001
49,Denver Nuggets,40,42,0.488,96.6,99.0,2000-2001
50,Vancouver Grizzlies,23,59,0.28,91.7,97.5,2000-2001
51,Los Angeles Lakers,56,26,0.683,100.6,97.2,2000-2001
52,Sacramento Kings,55,27,0.671,101.7,95.9,2000-2001
53,Phoenix Suns,51,31,0.622,94.0,91.8,2000-2001
54,Portland Trail Blazers,50,32,0.61,95.4,91.2,2000-2001
55,Seattle SuperSonics,44,38,0.537,97.3,97.3,2000-2001
56,Los Angeles Clippers,31,51,0.378,92.5,95.3,2000-2001
57,Golden State Warriors,17,65,0.207,92.5,101.5,2000-2001
58,New Jersey Nets,52,30,0.634,96.2,92.0,2001-2002
59,Boston Celtics,49,33,0.598,96.4,94.1,2001-2002
60,Orlando Magic,44,38,0.537,100.5,98.9,2001-2002
61,Philadelphia 76ers,43,39,0.524,91.0,89.4,2001-2002
62,Washington Wizards,37,45,0.451,92.8,94.2,2001-2002
63,Miami Heat,36,46,0.439,87.2,88.7,2001-2002
64,New York Knicks,30,52,0.366,91.6,95.6,2001-2002
65,Detroit Pistons,50,32,0.61,94.3,92.2,2001-2002
66,Charlotte Hornets,44,38,0.537,93.9,92.9,2001-2002
67,Toronto Raptors,42,40,0.512,91.4,91.8,2001-2002
68,Indiana Pacers,42,40,0.512,96.8,96.5,2001-2002
69,Milwaukee Bucks,41,41,0.5,97.5,97.7,2001-2002
70,Atlanta Hawks,33,49,0.402,94.0,98.3,2001-2002
71,Cleveland Cavaliers,29,53,0.354,95.3,98.6,2001-2002
72,Chicago Bulls,21,61,0.256,89.5,98.0,2001-2002
73,San Antonio Spurs,58,24,0.707,96.7,90.5,2001-2002
74,Dallas Mavericks,57,25,0.695,105.2,101.0,2001-2002
75,Minnesota Timberwolves,50,32,0.61,99.3,96.0,2001-2002
76,Utah Jazz,44,38,0.537,96.0,95.1,2001-2002
77,Houston Rockets,28,54,0.341,92.3,97.2,2001-2002
78,Denver Nuggets,27,55,0.329,92.2,98.0,2001-2002
79,Memphis Grizzlies,23,59,0.28,89.9,97.3,2001-2002
80,Sacramento Kings,61,21,0.744,104.6,97.0,2001-2002
81,Los Angeles Lakers,58,24,0.707,101.3,94.1,2001-2002
82,Portland Trail Blazers,49,33,0.598,96.6,93.7,2001-2002
83,Seattle SuperSonics,45,37,0.549,97.7,94.7,2001-2002
84,Los Angeles Clippers,39,43,0.476,95.7,96.1,2001-2002
85,Phoenix Suns,36,46,0.439,95.1,95.8,2001-2002
86,Golden State Warriors,21,61,0.256,97.7,103.1,2001-2002
87,New Jersey Nets,49,33,0.598,95.4,90.1,2002-2003
88,Philadelphia 76ers,48,34,0.585,96.8,94.5,2002-2003
89,Boston Celtics,44,38,0.537,92.7,93.1,2002-2003
90,Orlando Magic,42,40,0.512,98.5,98.4,2002-2003
